ID,usborn,firstgen,meim01,meim02,meim03,meim04,meim05,meim06,meim07,meim08,meim09,meim10,meim11,meim12,swl01,swl02,swl03,swl04,swl05
MCAE16159,no,yes,3,3,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5
MCAE16168,no,yes,2,3,3,2,3,3,3,3,4,3,3,3,3,3,3,3,2
MCAE16186,no,yes,3,2,2,2,4,4,3,2,4,4,4,4,4,4,5,5,4
MCAE16188,no,yes,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
MCAE16189,no,yes,3,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,3
MCAE16195,no,yes,4,2,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4
MCAE16200,no,yes,4,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4,4
MCAE16201,no,yes,2,2,3,2,3,2,2,2,3,4,3,3,4,3,3,3,5
MCAE16213,no,yes,4,4,3,4,4,3,3,3,4,4,3,4,3,3,4,4,2
MCAE16214,no,yes,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,3
MCAE16219,no,yes,4,3,4,4,4,4,4,3,3,3,4,3,4,4,4,5,4
MCAE16235,no,yes,4,4,3,3,4,4,3,3,4,4,4,4,4,4,5,5,5
MCAE16241,no,yes,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4
MCAE16274,no,yes,3,1,4,3,4,3,3,3,4,2,4,4,3,4,4,4,2
MCAE16289,no,yes,3,3,3,3,4,4,4,3,4,3,3,4,3,2,3,3,1
MCAE16298,no,yes,1,1,4,1,4,2,3,1,3,3,3,3,4,4,4,5,1
MCAE16004,yes,yes,3,2,3,3,4,3,3,3,4,2,3,4,NA,NA,NA,NA,NA
MCAE16009,yes,yes,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
MCAE16013,yes,yes,3,2,4,3,4,2,3,3,3,4,3,3,2,2,3,3,2
MCAE16016,yes,yes,3,2,4,2,4,4,4,3,4,4,4,4,2,3,4,4,4
MCAE16019,yes,yes,4,3,2,4,4,3,4,3,4,1,4,4,2,3,4,4,1
MCAE16032,yes,yes,3,2,4,4,4,2,3,4,4,4,4,4,2,5,2,4,4
MCAE16034,yes,yes,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3
MCAE16035,yes,yes,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,4
MCAE16046,yes,yes,4,2,4,3,4,3,3,4,4,4,3,4,4,4,5,4,3
MCAE16047,yes,yes,3,3,2,2,3,3,2,3,3,3,2,3,2,2,3,3,1
MCAE16051,yes,yes,3,2,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2
MCAE16056,yes,yes,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,2
MCAE16061,yes,yes,3,2,3,3,4,3,3,3,4,3,3,3,3,2,3,3,3
MCAE16072,yes,yes,2,2,2,3,2,2,2,3,2,2,2,2,4,2,2,2,4
MCAE16075,yes,yes,2,2,4,3,4,3,3,3,3,3,3,3,3,3,3,4,5
MCAE16076,yes,yes,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,3
MCAE16081,yes,yes,3,2,3,2,3,3,3,2,3,3,3,3,3,4,4,1,3
MCAE16084,yes,yes,3,2,3,4,4,4,4,4,4,4,4,3,3,3,4,4,2
MCAE16087,yes,yes,4,1,3,3,3,3,3,2,3,3,3,3,3,2,4,4,5
MCAE16094,yes,yes,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3
MCAE16095,yes,yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
MCAE16096,yes,yes,4,2,3,2,3,2,3,4,3,2,3,3,1,3,4,5,3
MCAE16098,yes,yes,3,4,3,4,4,4,4,3,4,4,4,4,3,3,5,4,2
MCAE16103,yes,yes,3,3,3,3,3,3,3,4,4,3,4,4,3,3,4,4,4
MCAE16116,yes,yes,3,2,4,2,3,3,3,3,3,3,3,3,2,3,4,5,3
MCAE16121,yes,yes,4,3,3,2,4,3,3,3,4,4,4,4,4,4,4,5,4
MCAE16122,yes,yes,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4
MCAE16153,yes,yes,3,2,3,4,4,3,3,3,4,3,4,4,2,3,2,1,3
MCAE16156,yes,yes,2,2,2,3,3,3,3,2,3,3,3,3,5,5,5,5,5
MCAE16164,yes,yes,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,3,3
MCAE16165,yes,yes,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,1
MCAE16178,yes,yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3
MCAE16181,yes,yes,1,1,3,3,3,3,3,3,3,2,2,2,1,2,4,3,2
MCAE16185,yes,yes,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,5
MCAE16194,yes,yes,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2
MCAE16206,yes,yes,3,1,3,3,3,3,3,1,2,3,2,2,4,4,3,4,3
